Run;LibraryName;Sample;Continent
SRR8439127;AT_Mau_15_50;SRS4248854;Europe
SRR8439143;AT_Mau_15_51;SRS4248838;Europe
SRR8494439;AT_See_16_1;SRS4298037;Europe
SRR8494459;CH_Cha_16_38;SRS4298017;Europe
SRR8439148;DE_Bro_15_53;SRS4248833;Europe
SRR8439144;DE_Bro_15_54;SRS4248837;Europe
SRR8494434;DE_Bro_16_10;SRS4298042;Europe
SRR8494452;DE_Bro_16_11;SRS4298024;Europe
SRR8439125;DE_Mun_15_45;SRS4248856;Europe
SRR8439124;DE_Mun_15_46;SRS4248857;Europe
SRR8494451;DE_Mun_16_12;SRS4298025;Europe
SRR8494454;DE_Mun_16_13;SRS4298022;Europe
SRR8494440;DK_Kar_16_2;SRS4298036;Europe
SRR8494438;DK_Kar_16_3;SRS4298038;Europe
SRR8494437;DK_Kar_16_4;SRS4298039;Europe
SRR8494475;ES_Ben_16_32;SRS4298001;Europe
SRR8439138;ES_Gim_15_30;SRS4248843;Europe
SRR8494470;ES_Gim_16_33;SRS4298006;Europe
SRR8494472;ES_Gim_16_34;SRS4298004;Europe
SRR8494462;ES_Pur_16_35;SRS4298014;Europe
SRR8439136;ES_Tom_15_28;SRS4248845;Europe
SRR8439137;ES_Tom_15_29;SRS4248844;Europe
SRR8494461;ES_Tom_16_36;SRS4298015;Europe
SRR8494460;ES_Tom_16_37;SRS4298016;Europe
SRR8494445;FI_Aka_16_5;SRS4298031;Europe
SRR8494443;FI_Aka_16_6;SRS4298033;Europe
SRR8494442;FI_Ves_16_7;SRS4298034;Europe
SRR8439122;FR_Got_15_47;SRS4248859;Europe
SRR8439123;FR_Got_15_48;SRS4248858;Europe
SRR8439126;FR_Got_15_49;SRS4248855;Europe
SRR8494447;FR_Got_16_8;SRS4298029;Europe
SRR8439120;FR_Vil_15_41;SRS4248861;Europe
SRR8494435;FR_Vil_16_9;SRS4298041;Europe
SRR8439114;GS_Des_15_1;SRS4248868;Europe
SRR8439112;GS_Sai_15_2;SRS4248869;Europe
SRR8494453;HU_Sze_16_14;SRS4298023;Europe
SRR8439118;IT_Mez_15_43;SRS4248863;Europe
SRR8439119;IT_Mez_15_44;SRS4248862;Europe
SRR8494456;IT_Tre_16_15;SRS4298020;Europe
SRR8494458;PO_Brz_16_17;SRS4298018;Europe
SRR8494455;PO_Gda_16_16;SRS4298021;Europe
SRR8494457;PT_Rec_16_18;SRS4298019;Europe
SRR8494479;RS_Kal_16_28;SRS4297997;Europe
SRR8494471;RS_Kal_16_29;SRS4298005;Europe
SRR8494473;RS_Sla_16_30;SRS4298003;Europe
SRR8494474;RS_Sla_16_31;SRS4298002;Europe
SRR8439141;RU_Ale_15_55;SRS4248840;Europe
SRR8494476;RU_Ale_16_22;SRS4298000;Europe
SRR8494449;RU_Val_16_19;SRS4298027;Europe
SRR8494450;RU_Val_16_20;SRS4298026;Europe
SRR8494477;RU_Val_16_21;SRS4297999;Europe
SRR8439113;TR_Yes_15_3;SRS4248867;Europe
SRR8439111;TR_Yes_15_4;SRS4248870;Europe
SRR8439110;TR_Yes_15_5;SRS4248871;Europe
SRR8439109;TR_Yes_15_6;SRS4248872;Europe
SRR8439108;TR_Yes_15_7;SRS4248873;Europe
SRR8439107;TR_Yes_15_8;SRS4248874;Europe
SRR8494467;TR_Yes_16_39;SRS4298009;Europe
SRR8494465;TR_Yes_16_40;SRS4298011;Europe
SRR8494464;TR_Yes_16_41;SRS4298012;Europe
SRR8494463;TR_Yes_16_42;SRS4298013;Europe
SRR8494468;TR_Yes_16_43;SRS4298008;Europe
SRR8494423;TR_Yes_16_52;SRS4298053;Europe
SRR8439132;UA_Cho_15_24;SRS4248849;Europe
SRR8439133;UA_Cho_15_25;SRS4248848;Europe
SRR8439134;UA_Cho_15_26;SRS4248847;Europe
SRR8439135;UA_Cho_15_27;SRS4248846;Europe
SRR8439128;UA_Cho_15_67;SRS4248853;Europe
SRR8439139;UA_Cho_15_69;SRS4248842;Europe
SRR8439115;UA_Cho_15_70;SRS4248866;Europe
SRR8494431;UA_Cho_16_54;SRS4298045;Europe
SRR8494444;UA_Cho_16_55;SRS4298032;Europe
SRR8494433;UA_Cho_16_62;SRS4298043;Europe
SRR8439116;UA_Dro_15_10;SRS4248865;Europe
SRR8494441;UA_Dro_16_56;SRS4298035;Europe
SRR8494448;UA_Kan_16_57;SRS4298028;Europe
SRR8439146;UA_Kha_15_19;SRS4248835;Europe
SRR8494446;UA_Kha_16_58;SRS4298030;Europe
SRR8439147;UA_Kyi_15_64;SRS4248834;Europe
SRR8494466;UA_Kyi_16_44;SRS4298010;Europe
SRR8494428;UA_Kyi_16_45;SRS4298048;Europe
SRR8494430;UA_Kyi_16_59;SRS4298046;Europe
SRR8439145;UA_Ode_15_20;SRS4248836;Europe
SRR8439130;UA_Ode_15_22;SRS4248851;Europe
SRR8439140;UA_Ode_15_66;SRS4248841;Europe
SRR8494429;UA_Ode_16_46;SRS4298047;Europe
SRR8494427;UA_Ode_16_47;SRS4298049;Europe
SRR8439129;UA_Pir_15_21;SRS4248852;Europe
SRR8494426;UA_Pyr_16_48;SRS4298050;Europe
SRR8494424;UA_Pyr_16_49;SRS4298052;Europe
SRR8439117;UA_Uma_15_9;SRS4248864;Europe
SRR8494425;UA_Uma_16_50;SRS4298051;Europe
SRR8494422;UA_Uma_16_51;SRS4298054;Europe
SRR8494469;UA_Var_16_60;SRS4298007;Europe
SRR8439131;UA_Yal_15_23;SRS4248850;Europe
SRR8494436;UA_Yal_16_61;SRS4298040;Europe
SRR8439142;UK_Dai_15_52;SRS4248839;Europe
SRR8494478;UK_Dai_16_23;SRS4297998;Europe
SRR8439121;UK_Mar_15_42;SRS4248860;Europe
SRR8494432;UK_Mar_16_53;SRS4298044;Europe
SRR5647751;AT_Mau_14_01;SRS2253442;Europe
SRR5647750;AT_Mau_14_02;SRS2253443;Europe
SRR5647746;AT_See_14_44;SRS2253447;Europe
SRR8439157;BY_Bre_15_13;SRS4248824;Europe
SRR5647754;CH_Cha_14_42;SRS2253439;Europe
SRR5647758;CH_Cha_14_43;SRS2253435;Europe
SRR8439166;CH_Cha_15_39;SRS4248815;Europe
SRR5647756;CY_Nic_14_11;SRS2253437;Europe
SRR5647762;DE_Bro_14_14;SRS2253431;Europe
SRR5647761;DE_Bro_14_15;SRS2253432;Europe
SRR5647744;DE_Mun_14_31;SRS2253449;Europe
SRR5647745;DE_Mun_14_32;SRS2253448;Europe
SRR5647772;DK_Kar_14_39;SRS2253421;Europe
SRR5647771;DK_Kar_14_41;SRS2253422;Europe
SRR8439163;ES_Cor_15_33;SRS4248818;Europe
SRR5647769;ES_Gim_14_34;SRS2253424;Europe
