	MN_BIO1_S1	MN_BIO4_S1	ND_BIO1_S1	ND_BIO4_S1	NW_BIO1_S1	NW_BIO1_S2	NW_BIO4_S1	NW_BIO4_S2	NW_BIO4_S3	PA_BIO1_S1	PA_BIO4_S1	PA_BIO4_S2	WI_BIO1_S1	WI_BIO1_S2	WI_BIO4_S1	WI_BIO4_S2	WI_BIO4_S3	WO_BIO1_S1	WO_BIO4_S1	WO_BIO4_S2	WO_BIO4_S3
MN_BIO1_S1	0	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2
MN_BIO4_S1	2	0	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1
ND_BIO1_S1	1	2	0	2	1	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2
ND_BIO4_S1	2	1	2	0	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1
NW_BIO1_S1	1	2	1	2	0	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2
NW_BIO1_S2	1	2	1	2	1	0	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2
NW_BIO4_S1	2	1	2	1	2	2	0	1	1	2	1	1	2	2	1	1	1	2	1	1	1
NW_BIO4_S2	2	1	2	1	2	2	1	0	1	2	1	1	2	2	1	1	1	2	1	1	1
NW_BIO4_S3	2	1	2	1	2	2	1	1	0	2	1	1	2	2	1	1	1	2	1	1	1
PA_BIO1_S1	1	2	1	2	1	1	2	2	2	0	2	2	1	1	2	2	2	1	2	2	2
PA_BIO4_S1	2	1	2	1	2	2	1	1	1	2	0	1	2	2	1	1	1	2	1	1	1
PA_BIO4_S2	2	1	2	1	2	2	1	1	1	2	1	0	2	2	1	1	1	2	1	1	1
WI_BIO1_S1	1	2	1	2	1	1	2	2	2	1	2	2	0	1	2	2	2	1	2	2	2
WI_BIO1_S2	1	2	1	2	1	1	2	2	2	1	2	2	1	0	2	2	2	1	2	2	2
WI_BIO4_S1	2	1	2	1	2	2	1	1	1	2	1	1	2	2	0	1	1	2	1	1	1
WI_BIO4_S2	2	1	2	1	2	2	1	1	1	2	1	1	2	2	1	0	1	2	1	1	1
WI_BIO4_S3	2	1	2	1	2	2	1	1	1	2	1	1	2	2	1	1	0	2	1	1	1
WO_BIO1_S1	1	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	2	0	2	2	2
WO_BIO4_S1	2	1	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	0	1	1
WO_BIO4_S2	2	1	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	0	1
WO_BIO4_S3	2	1	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	0
