	MN_BIO1_S1	MN_BIO4_S1	ND_BIO1_S1	ND_BIO4_S1	NW_BIO1_S1	NW_BIO1_S2	NW_BIO4_S1	NW_BIO4_S2	NW_BIO4_S3	PA_BIO1_S1	PA_BIO4_S1	PA_BIO4_S2	WI_BIO1_S1	WI_BIO1_S2	WI_BIO4_S1	WI_BIO4_S2	WI_BIO4_S3	WO_BIO1_S1	WO_BIO4_S1	WO_BIO4_S2	WO_BIO4_S3
MN_BIO1_S1	0.00	3.99	334.39	336.00	997.00	997.00	993.16	993.16	993.16	1474.97	1471.03	1471.03	480.17	480.17	476.23	476.23	476.23	1157.51	1153.65	1153.65	1153.65
MN_BIO4_S1	3.99	0.00	332.81	334.39	1000.84	1000.84	997.00	997.00	997.00	1478.91	1474.97	1474.97	484.10	484.10	480.17	480.17	480.17	1161.37	1157.51	1157.51	1157.51
ND_BIO1_S1	334.39	332.81	0.00	3.80	1235.43	1235.43	1232.03	1232.03	1232.03	1678.21	1674.58	1674.58	720.13	720.13	716.89	716.89	716.89	1389.37	1385.91	1385.91	1385.91
ND_BIO4_S1	336.00	334.39	3.80	0.00	1238.84	1238.84	1235.43	1235.43	1235.43	1681.84	1678.21	1678.21	723.38	723.38	720.13	720.13	720.13	1392.84	1389.37	1389.37	1389.37
NW_BIO1_S1	997.00	1000.84	1235.43	1238.84	0.00	0.00	4.19	4.19	4.19	497.85	493.67	493.67	521.61	521.61	525.28	525.28	525.28	161.36	157.36	157.36	157.36
NW_BIO1_S2	997.00	1000.84	1235.43	1238.84	0.00	0.00	4.19	4.19	4.19	497.85	493.67	493.67	521.61	521.61	525.28	525.28	525.28	161.36	157.36	157.36	157.36
NW_BIO4_S1	993.16	997.00	1232.03	1235.43	4.19	4.19	0.00	0.00	0.00	502.03	497.85	497.85	517.94	517.94	521.61	521.61	521.61	165.36	161.36	161.36	161.36
NW_BIO4_S2	993.16	997.00	1232.03	1235.43	4.19	4.19	0.00	0.00	0.00	502.03	497.85	497.85	517.94	517.94	521.61	521.61	521.61	165.36	161.36	161.36	161.36
NW_BIO4_S3	993.16	997.00	1232.03	1235.43	4.19	4.19	0.00	0.00	0.00	502.03	497.85	497.85	517.94	517.94	521.61	521.61	521.61	165.36	161.36	161.36	161.36
PA_BIO1_S1	1474.97	1478.91	1678.21	1681.84	497.85	497.85	502.03	502.03	502.03	0.00	4.21	4.21	994.87	994.87	998.82	998.82	998.82	343.02	347.23	347.23	347.23
PA_BIO4_S1	1471.03	1474.97	1674.58	1678.21	493.67	493.67	497.85	497.85	497.85	4.21	0.00	0.00	990.92	990.92	994.87	994.87	994.87	338.81	343.02	343.02	343.02
PA_BIO4_S2	1471.03	1474.97	1674.58	1678.21	493.67	493.67	497.85	497.85	497.85	4.21	0.00	0.00	990.92	990.92	994.87	994.87	994.87	338.81	343.02	343.02	343.02
WI_BIO1_S1	480.17	484.10	720.13	723.38	521.61	521.61	517.94	517.94	517.94	994.87	990.92	990.92	0.00	0.00	4.05	4.05	4.05	680.39	676.65	676.65	676.65
WI_BIO1_S2	480.17	484.10	720.13	723.38	521.61	521.61	517.94	517.94	517.94	994.87	990.92	990.92	0.00	0.00	4.05	4.05	4.05	680.39	676.65	676.65	676.65
WI_BIO4_S1	476.23	480.17	716.89	720.13	525.28	525.28	521.61	521.61	521.61	998.82	994.87	994.87	4.05	4.05	0.00	0.00	0.00	684.14	680.39	680.39	680.39
WI_BIO4_S2	476.23	480.17	716.89	720.13	525.28	525.28	521.61	521.61	521.61	998.82	994.87	994.87	4.05	4.05	0.00	0.00	0.00	684.14	680.39	680.39	680.39
WI_BIO4_S3	476.23	480.17	716.89	720.13	525.28	525.28	521.61	521.61	521.61	998.82	994.87	994.87	4.05	4.05	0.00	0.00	0.00	684.14	680.39	680.39	680.39
WO_BIO1_S1	1157.51	1161.37	1389.37	1392.84	161.36	161.36	165.36	165.36	165.36	343.02	338.81	338.81	680.39	680.39	684.14	684.14	684.14	0.00	4.21	4.21	4.21
WO_BIO4_S1	1153.65	1157.51	1385.91	1389.37	157.36	157.36	161.36	161.36	161.36	347.23	343.02	343.02	676.65	676.65	680.39	680.39	680.39	4.21	0.00	0.00	0.00
WO_BIO4_S2	1153.65	1157.51	1385.91	1389.37	157.36	157.36	161.36	161.36	161.36	347.23	343.02	343.02	676.65	676.65	680.39	680.39	680.39	4.21	0.00	0.00	0.00
WO_BIO4_S3	1153.65	1157.51	1385.91	1389.37	157.36	157.36	161.36	161.36	161.36	347.23	343.02	343.02	676.65	676.65	680.39	680.39	680.39	4.21	0.00	0.00	0.00
