	MN_BIO1	MN_BIO4	ND_BIO1	ND_BIO4	NW_BIO1	NW_BIO4	PA_BIO1	PA_BIO4	WI_BIO1	WI_BIO4	WO_BIO1	WO_BIO4
MN_BIO1	0.00	0.48	334.39	334.65	997.00	996.54	1474.97	1474.50	480.17	479.46	1157.51	1156.97
MN_BIO4	0.48	0.00	334.20	334.45	997.46	997.00	1475.44	1474.97	480.64	479.93	1157.97	1157.43
ND_BIO1	334.39	334.20	0.00	0.61	1235.43	1235.03	1678.21	1677.78	720.13	719.55	1389.37	1388.89
ND_BIO4	334.65	334.45	0.61	0.00	1235.98	1235.57	1678.79	1678.36	720.65	720.07	1389.93	1389.44
NW_BIO1	997.00	997.46	1235.43	1235.98	0.00	0.50	497.85	497.35	521.61	522.27	161.36	160.79
NW_BIO4	996.54	997.00	1235.03	1235.57	0.50	0.00	498.35	497.85	521.17	521.83	161.84	161.28
PA_BIO1	1474.97	1475.44	1678.21	1678.79	497.85	498.35	0.00	0.51	994.87	995.58	343.02	343.61
PA_BIO4	1474.50	1474.97	1677.78	1678.36	497.35	497.85	0.51	0.00	994.40	995.11	342.51	343.10
WI_BIO1	480.17	480.64	720.13	720.65	521.61	521.17	994.87	994.40	0.00	0.73	680.39	679.87
WI_BIO4	479.46	479.93	719.55	720.07	522.27	521.83	995.58	995.11	0.73	0.00	681.07	680.54
WO_BIO1	1157.51	1157.97	1389.37	1389.93	161.36	161.84	343.02	342.51	680.39	681.07	0.00	0.59
WO_BIO4	1156.97	1157.43	1388.89	1389.44	160.79	161.28	343.61	343.10	679.87	680.54	0.59	0.00
