	MN_BIO1_S1	MN_BIO4_S1	ND_BIO1_S1	ND_BIO4_S1	NW_BIO1_S1	NW_BIO1_S2	NW_BIO4_S1	NW_BIO4_S2	NW_BIO4_S3	PA_BIO1_S1	PA_BIO4_S1	PA_BIO4_S2	WI_BIO1_S1	WI_BIO1_S2	WI_BIO4_S1	WI_BIO4_S2	WI_BIO4_S3	WO_BIO1_S1	WO_BIO4_S1	WO_BIO4_S2	WO_BIO4_S3
MN_BIO1_S1	0.00	0.48	334.39	334.65	997.00	996.74	996.54	996.27	996.80	1474.97	1474.50	1474.26	480.17	480.01	479.46	479.30	479.62	1157.51	1156.97	1156.70	1157.24
MN_BIO4_S1	0.48	0.00	334.20	334.45	997.46	997.20	997.00	996.74	997.27	1475.44	1474.97	1474.74	480.64	480.48	479.93	479.77	480.09	1157.97	1157.43	1157.16	1157.70
ND_BIO1_S1	334.39	334.20	0.00	0.61	1235.43	1235.05	1235.03	1234.64	1235.41	1678.21	1677.78	1677.44	720.13	719.74	719.55	719.15	719.95	1389.37	1388.89	1388.51	1389.27
ND_BIO4_S1	334.65	334.45	0.61	0.00	1235.98	1235.59	1235.57	1235.18	1235.96	1678.79	1678.36	1678.02	720.65	720.26	720.07	719.67	720.47	1389.93	1389.44	1389.06	1389.82
NW_BIO1_S1	997.00	997.46	1235.43	1235.98	0.00	0.67	0.50	0.84	0.84	497.85	497.35	497.27	521.61	521.89	522.27	522.55	521.99	161.36	160.79	160.59	161.01
NW_BIO1_S2	996.74	997.20	1235.05	1235.59	0.67	0.00	0.84	0.50	1.43	497.89	497.39	497.31	521.28	521.57	521.95	522.23	521.67	161.55	160.99	160.78	161.21
NW_BIO4_S1	996.54	997.00	1235.03	1235.57	0.50	0.84	0.00	0.67	0.67	498.35	497.85	497.77	521.17	521.45	521.83	522.11	521.54	161.84	161.28	161.07	161.49
NW_BIO4_S2	996.27	996.74	1234.64	1235.18	0.84	0.50	0.67	0.00	1.34	498.40	497.89	497.81	520.84	521.13	521.51	521.79	521.22	162.03	161.47	161.26	161.69
NW_BIO4_S3	996.80	997.27	1235.41	1235.96	0.84	1.43	0.67	1.34	0.00	498.31	497.81	497.73	521.49	521.77	522.15	522.43	521.87	161.64	161.08	160.87	161.29
PA_BIO1_S1	1474.97	1475.44	1678.21	1678.79	497.85	497.89	498.35	498.40	498.31	0.00	0.51	0.84	994.87	995.02	995.58	995.73	995.44	343.02	343.61	343.59	343.63
PA_BIO4_S1	1474.50	1474.97	1677.78	1678.36	497.35	497.39	497.85	497.89	497.81	0.51	0.00	0.67	994.40	994.55	995.11	995.26	994.96	342.51	343.10	343.09	343.12
PA_BIO4_S2	1474.26	1474.74	1677.44	1678.02	497.27	497.31	497.77	497.81	497.73	0.84	0.67	0.00	994.17	994.31	994.88	995.02	994.73	342.50	343.09	343.07	343.11
WI_BIO1_S1	480.17	480.64	720.13	720.65	521.61	521.28	521.17	520.84	521.49	994.87	994.40	994.17	0.00	0.67	0.73	0.99	0.99	680.39	679.87	679.56	680.17
WI_BIO1_S2	480.01	480.48	719.74	720.26	521.89	521.57	521.45	521.13	521.77	995.02	994.55	994.31	0.67	0.00	0.99	0.73	1.52	680.65	680.12	679.81	680.43
WI_BIO4_S1	479.46	479.93	719.55	720.07	522.27	521.95	521.83	521.51	522.15	995.58	995.11	994.88	0.73	0.99	0.00	0.67	0.67	681.07	680.54	680.24	680.85
WI_BIO4_S2	479.30	479.77	719.15	719.67	522.55	522.23	522.11	521.79	522.43	995.73	995.26	995.02	0.99	0.73	0.67	0.00	1.34	681.32	680.80	680.49	681.10
WI_BIO4_S3	479.62	480.09	719.95	720.47	521.99	521.67	521.54	521.22	521.87	995.44	994.96	994.73	0.99	1.52	0.67	1.34	0.00	680.82	680.29	679.99	680.60
WO_BIO1_S1	1157.51	1157.97	1389.37	1389.93	161.36	161.55	161.84	162.03	161.64	343.02	342.51	342.50	680.39	680.65	681.07	681.32	680.82	0.00	0.59	0.89	0.89
WO_BIO4_S1	1156.97	1157.43	1388.89	1389.44	160.79	160.99	161.28	161.47	161.08	343.61	343.10	343.09	679.87	680.12	680.54	680.80	680.29	0.59	0.00	0.67	0.67
WO_BIO4_S2	1156.70	1157.16	1388.51	1389.06	160.59	160.78	161.07	161.26	160.87	343.59	343.09	343.07	679.56	679.81	680.24	680.49	679.99	0.89	0.67	0.00	1.34
WO_BIO4_S3	1157.24	1157.70	1389.27	1389.82	161.01	161.21	161.49	161.69	161.29	343.63	343.12	343.11	680.17	680.43	680.85	681.10	680.60	0.89	0.67	1.34	0.00
