latitude	longitude	Year	Season	X	Y	spacing_x	spacing_y	colors
-0.25	35.73	2009	NA	42.55443	-0.003125	42.55443	-3.603125	black
-1.04	37.08	2009	NA	45.83088	-0.05408	45.83088	-3.65408	black
-1.65	13.6	2002	NA	6.16533333333	-0.136125	6.16533333333	-3.736125	black
-12.18	26.4	2010	NA	23.232	-7.41762	23.232	-11.01762	black
-15.5998	34.5141	2001	NA	39.707436627	-12.167688002	39.707436627	-15.767688002	black
-16.52	28.8	1994	NA	27.648	-13.64552	27.648	-17.24552	black
-16.54	28.72	2010	NA	27.4946133333	-13.67858	27.4946133333	-17.27858	black
-17.86	25.86	2010	NA	22.29132	-15.94898	22.29132	-19.54898	black
-18.16	28.22	1990	NA	26.5456133333	-16.48928	26.5456133333	-20.08928	black
-2.29	28.55	2008	NA	27.1700833333	-0.262205	27.1700833333	-3.862205	black
-2.49	28.92	2008	NA	27.87888	-0.310005	27.87888	-3.910005	black
-23.94	31.14	2010	NA	32.32332	-28.65618	32.32332	-32.25618	black
-25.42	30.1	2011	NA	30.2003333333	-32.30882	30.2003333333	-35.90882	black
-42.77	147.56	2004	NA	725.798453333	-91.463645	725.798453333	-95.063645	black
-8.89	33.44	2009	NA	37.2744533333	-3.951605	37.2744533333	-7.551605	black
0.04	36.36	2009	NA	44.06832	8e-05	44.06832	-3.59992	black
0.47	35.98	2009	NA	43.1520133333	0.011045	43.1520133333	-3.588955	black
0.51	25.19	2010	NA	21.1512033333	0.013005	21.1512033333	-3.586995	black
0.53	32.6	2005	NA	35.4253333333	0.014045	35.4253333333	-3.585955	black
1.68	31.72	2010	NA	33.5386133333	0.14112	33.5386133333	-3.45888	black
10.7	-12.25	2005	NA	-5.00208333333	5.7245	-5.00208333333	2.1245	black
11.85	13.16	2004	NA	5.77285333333	7.021125	5.77285333333	3.421125	black
16.25	-61.28	2015	fall	0.46128	0.078125	0.46128	1.878125	black
16.32	-61.78	2015	fall	0.345613333333	0.08712	0.345613333333	1.88712	black
25.5	-80.477	2010	spring	12.7049176333	0.1125	12.7049176333	0.1125	black
25.5	-80.477	2010	fall	12.7049176333	0.1125	12.7049176333	1.9125	black
30.1	31.32	2011	NA	8.87808	-7.0805	8.87808	-10.6805	black
30.99	-83.37	2008	spring	9.21856333333	2.443005	9.21856333333	2.443005	black
33.39	-80.34	2010	spring	12.8838533333	4.408605	12.8838533333	4.408605	black
33.95	-83.36	2014	fall	9.22965333333	4.950125	9.22965333333	6.750125	black
33.95	-83.36	2014	spring	9.22965333333	4.950125	9.22965333333	4.950125	black
35.066461	33.322646	2014	spring	11.1906452147	-2.40369815323	11.1906452147	-2.40369815323	black
35.76	-78.66	2003	NA	15.1798533333	6.91488	15.1798533333	3.31488	black
